02_AA,2,1.4012882709503174,-113.43974122851513,0.0
03_AA,2,1.2281391620635986,-150.6081251852256,0.007490089307537678
04_AA,4,1.224897861480713,-262.1031232062619,0.007228214913887252
05_AA,3,1.1751933097839355,-336.43690192481637,0.007527284277073728
06_AA,4,1.4053459167480469,-447.92527317508006,0.0057135961769485405
07_AA,5,1.4654479026794434,-485.0929511859326,0.0005283449822343169
08_AA,6,1.5731828212738037,-596.5827084068748,0.013561466408686771
09_AA,20,2.9229490756988525,-708.0739919848525,0.006211815059263298
10_AA,6,1.424056053161621,-782.4001886759436,0.0017753798336027607
11_AA,7,1.6902036666870117,-931.0562390276046,0.014124271735620173
12_AA,4,1.4665653705596924,-1005.377195880062,0.0027727626332707906
13_AA,4,1.2877967357635498,-1042.5422367402302,0.002316678733164431
14_AA,4,1.3147587776184082,-1154.0367386952896,0.004275985039022768
15_AA,4,1.8599305152893066,-1339.8549597605288,0.012953090485173761
16_AA,33,4.953281879425049,-1377.0203323082983,0.006956564603665886
17_AA,4,1.561551570892334,-1451.3460290705061,0.004182135920637685
18_AA,4,1.6136276721954346,-1600.0004668089027,0.0028331874716893625
19_AA,4,1.5778074264526367,-1785.8099634863056,0.006842798076441811
20_AA,4,1.4188041687011719,-1822.9823632290238,0.01328766149206187x
