Number_of_Atoms,Total_Loss,Energy_Loss,Forces_Loss
53,0.0077654155902564526,6.081973424443277e-06,7.759333675494418e-05
53,0.00770444143563509,6.1303499023779295e-06,7.698310946580023e-05
53,0.007357888855040073,6.164614205772523e-06,7.351724343607202e-05
53,0.007162478752434254,6.198973551363451e-06,7.156279752962291e-05
53,0.006343611981719732,6.2363028519030195e-06,6.337375816656277e-05
53,0.006259492598474026,6.242056770133786e-06,6.253250467125326e-05
53,0.0065587833523750305,6.2449344113701954e-06,6.552538252435625e-05
53,0.00640685111284256,6.242056770133786e-06,6.40060898149386e-05
53,0.006372303236275911,6.242056770133786e-06,6.366061279550195e-05
65,0.04220253601670265,1.163121487479657e-05,0.00042190906242467463
65,0.026601044461131096,1.1908253327419516e-05,0.00026589137269183993
65,0.03308793157339096,1.2300270100240596e-05,0.0003307563019916415
65,0.0430447980761528,1.3225995644461364e-05,0.0004303157329559326
65,0.04596714675426483,1.3404168385022786e-05,0.0004595374339260161
65,0.055808089673519135,1.3980926269141492e-05,0.0005579410935752094
65,0.0327855721116066,1.5046786757011432e-05,0.00032770526013337076
65,0.017704494297504425,1.6333449821104296e-05,0.00017688160005491227
65,0.01799733005464077,1.660017551330384e-05,0.0001798073062673211
65,0.022056320682168007,1.7171225408674218e-05,0.0002203914918936789
65,0.02101059816777706,1.7132335415226407e-05,0.00020993466023355722
65,0.019125567749142647,1.7303775166510604e-05,0.00019108263950329274
65,0.020325947552919388,1.7594029486645013e-05,0.00020308353123255074
65,0.027571093291044235,1.753893229761161e-05,0.00027553553809411824
65,0.02120693400502205,1.7704483980196528e-05,0.00021189230028539896
65,0.02768614888191223,1.7791511709219776e-05,0.00027668356779031456
65,0.02776370942592621,1.7799437046051025e-05,0.00027745909756049514
65,0.02006683312356472,1.7862877939478494e-05,0.00020048969599884003
65,0.020235896110534668,1.7862877939478494e-05,0.0002021803375100717
65,0.02100140042603016,1.7870814190246165e-05,0.00020983529975637794
65,0.019178781658411026,1.7910533642861992e-05,0.00019160870579071343
65,0.02131619304418564,1.7998065231950022e-05,0.00021298194769769907
65,0.02597443386912346,1.8205812011728995e-05,0.0002595622790977359
65,0.026582542806863785,1.824590071919374e-05,0.0002656429714988917
65,0.028267914429306984,1.8390579498372972e-05,0.0002824952534865588
65,0.022115226835012436,1.8657314285519533e-05,0.00022096569591667503
65,0.02371222712099552,1.8762915715342388e-05,0.0002369346475461498
65,0.026908086612820625,1.899138260341715e-05,0.0002688909589778632
65,0.03675679489970207,1.911434083012864e-05,0.0003673768078442663
65,0.02543642185628414,1.905691169667989e-05,0.0002541736466810107
65,0.03641476854681969,1.9180082745151594e-05,0.00036395585630089045
65,0.04108893498778343,1.9229462850489654e-05,0.0004106970445718616
65,0.029539987444877625,1.9411067114560865e-05,0.0002952057693619281
65,0.029867185279726982,1.9518778572091833e-05,0.00029847666155546904
65,0.025908466428518295,1.9593526303651743e-05,0.0002588887291494757
65,0.03179982304573059,1.9601837266236544e-05,0.0003178022161591798
65,0.03202764317393303,1.9585211703088135e-05,0.0003200806095264852
65,0.032907214015722275,1.9593526303651743e-05,0.0003288761945441365
65,0.025890246033668518,1.9635110220406204e-05,0.0002587061026133597
65,0.02260604128241539,1.9643435734906234e-05,0.0002258639724459499
65,0.02317677065730095,1.9643435734906234e-05,0.00023157126270234585
65,0.023279964923858643,1.966008494491689e-05,0.00023260305169969797
65,0.023007245734333992,1.966008494491689e-05,0.0002298758627148345
65,0.02514103800058365,1.9668412278406322e-05,0.00025121369981206954
65,0.02541913278400898,1.9668412278406322e-05,0.0002539946581237018
65,0.025636211037635803,1.966008494491689e-05,0.0002561655128374696
65,0.018222840502858162,1.96850724023534e-05,0.00018203155195806175
65,0.023551475256681442,1.9676743249874562e-05,0.00023531798797193915
65,0.021166764199733734,1.96850724023534e-05,0.00021147078950889409
65,0.02035641111433506,1.96850724023534e-05,0.00020336726447567344
65,0.019437525421380997,1.96850724023534e-05,0.0001941784139489755
65,0.023342568427324295,1.96850724023534e-05,0.00023322884226217866
65,0.021460719406604767,1.96850724023534e-05,0.00021441034914460033
65,0.021558299660682678,1.96850724023534e-05,0.00021538615692406893
65,0.021152755245566368,1.96850724023534e-05,0.00021133071277290583
65,0.020436307415366173,1.96850724023534e-05,0.00020416623738128692
65,0.020749537274241447,1.96850724023534e-05,0.00020729853713419288
65,0.021782511845231056,1.96850724023534e-05,0.00021762827236671
65,0.02280324138700962,1.96850724023534e-05,0.00022783556778449565
65,0.022983092814683914,1.96850724023534e-05,0.0002296340826433152
65,0.021348802372813225,1.9693407011800446e-05,0.0002132910885848105
65,0.02251581661403179,1.9693407011800446e-05,0.00022496122983284295
65,0.022517168894410133,1.96850724023534e-05,0.0002249748504254967
65,0.023735158145427704,1.96850724023534e-05,0.00023715474526397884
65,0.022392960265278816,1.96850724023534e-05,0.00022373275714926422
65,0.023239869624376297,1.96850724023534e-05,0.0002322018553968519
65,0.022403573617339134,1.96850724023534e-05,0.00022383889881893992
65,0.020600108429789543,1.9693407011800446e-05,0.00020580414275173098
65,0.021417560055851936,1.9693407011800446e-05,0.00021397866657935083
65,0.020622406154870987,1.9693407011800446e-05,0.00020602712174877524
65,0.02147209644317627,1.9701741621247493e-05,0.0002145239559467882
65,0.019844314083456993,1.9710079868673347e-05,0.00019824603805318475
65,0.020985569804906845,1.9710079868673347e-05,0.00020965859584975988
65,0.0219309963285923,1.9710079868673347e-05,0.000219112858758308
65,0.02134161815047264,1.9718416297109798e-05,0.00021321899839676917
65,0.021567843854427338,1.9718416297109798e-05,0.0002154812536900863
65,0.02267075888812542,1.9718416297109798e-05,0.00022651041217613965
65,0.021677536889910698,1.972675818251446e-05,0.00021657810430042446
