filename,steps,time(s),final_energy(eV),Coordinates MAE(A)
02_AB,18,2.639591932296753,-113.39246249280141,0.004379057007691114
03_AB,10,2.0271172523498535,-150.55702841736533,0.001242522181255461
04_AB,31,3.4882314205169678,-262.0454738808993,0.00393652546105644
05_AB,25,3.5229132175445557,-336.37508678853845,0.016498848770937755
06_AB,21,3.0449788570404053,-447.86618350420923,0.008319362946320104
07_AB,23,3.187685251235962,-485.0344874475354,0.0011980416537023268
08_AB,21,3.0903635025024414,-596.5292945982658,0.005572622357785311
09_AB,21,3.1117849349975586,-708.037975116387,0.0042656817248507275
10_AB,24,2.988312244415283,-782.373219013399,0.003013112317997646
11_AB,25,3.155569553375244,-931.0500152344563,0.00441106008979409
12_AB,25,3.2442963123321533,-1005.38582834267,0.006073589085643466
13_AB,23,3.1687514781951904,-1042.5554186049417,0.004153655013419847
14_AB,27,3.731072187423706,-1154.0649346512819,0.004968442496215416
15_AB,20,3.1933584213256836,-1339.9027554399113,0.007174139632495004
16_AB,28,4.2335169315338135,-1377.0771874893721,0.006294000761346859
17_AB,31,4.692253589630127,-1451.4147724032107,0.00884757483795718
18_AB,90,14.401821613311768,-1600.529313212244,0.08403040628186383
19_AB,83,14.963189601898193,-1786.6386792192877,0.09462536955520887
20_AB,27,5.302270174026489,-1823.0906896599759,0.010375079183638428
